title;link
Rússia diz que envio de tropas da Otan para a Ucrânia aumentaria o conflito;CNN Brasil
Ataques russos na Ucrânia deixam 3 mortos e mais de 50 feridos – Mundo;CartaCapital
Otan pede que EUA mantenham o envio de armas à Ucrânia;Poder360
Rússia responde ultimato de Trump sobre fim da guerra com a Ucrânia;Band Jornalismo
Trump exige que Putin acabe com a 'ridícula' guerra na Ucrânia ou enfrente novas sanções;BBC News Brasil
Trump dá 100 dias para enviado acabar com guerra na Ucrânia, e Rússia vê oportunidade  Zelensky pede 200 mil soldados de paz;O Globo
Trump pressiona Putin a negociar acordo de paz com a Ucrânia ou arcar com sanções;Bloomberg Línea Brasil
Secretário-geral da Otan diz que Europa financiará armas dos EUA para Ucrânia;InfoMoney
Guerra da Ucrânia vai terminar se preço do petróleo cair, diz Trump;CNN Brasil
Ucrânia captura soldados da Coreia do Norte | Melhor da Noite;Band Jornalismo
Lula não é mais um 'player' nas negociações entre Ucrânia e Rússia, e também não será com Trump, diz Zelensky;G1
“Em andamento“, diz Trump sobre esforços para acordo entre Rússia e Ucrânia;CNN Brasil
Kremlin minimiza ameaça de Trump a Putin sobre Ucrânia;UOL
Trump ameaça Rússia com novas sanções se Putin não parar a guerra na Ucrânia;G1
Rússia domina 20% do território da Ucrânia após 3 anos de guerra;Band Jornalismo
EUA ameaçam Putin com sanções se a guerra na Ucrânia não acabar logo;Valor Econômico
Inglaterra promete novo apoio militar à Ucrânia;Band Jornalismo
Maior ataque aéreo da Rússia na Ucrânia | Melhor da Noite;Band Jornalismo
Secretário-geral da Otan pede que EUA continuem a ajudar a Ucrânia;Jovem Pan
EUA fecham embaixada na Ucrânia por ameaça de ataque russo;Band Jornalismo
Trump promete acabar guerra na Ucrânia;Band Jornalismo
Kremlin minimiza ameaça de Trump a Putin para encerrar guerra na Ucrânia;VEJA
Trump reforça crítica à imigração  diz que guerra na Ucrânia nem deveria ter começado;InfoMoney
OTAN diz que financiará envio de armas dos EUA para a Ucrânia;R7
Vitória russa sobre Ucrânia impactaria credibilidade da Otan, diz secretário-geral do órgão;GZH
Presidente da Ucrânia comenta sobre a participação do Brasil na guerra;Band Jornalismo
Oferta limitada de milho de Brasil e Ucrânia favorece exportações dos EUA;O Presente Rural
Donald Trump ameaça Putin e exige o fim da guerra com a Ucrânia;Correio Braziliense
Enviado de Trump rejeita expansão da Otan: "membros devem investir antes";Gazeta do Povo
Zelensky diz ser preciso ao ‘menos 200 mil’ soldados aliados para um acordo de paz na Ucrânia;Valor Econômico
Rússia responde a Trump: “é preciso analisar primeiro as suas propostas sobre a Ucrânia”;Brasil 247
Acordo para o fim da Guerra da Ucrânia possui riscos jurídicos;UOL
Se dependesse da Ucrânia, a guerra terminaria amanhã, diz o principal assessor de Zelenskyy;Euronews
Atualizações sobre a guerra entre Rússia e Ucrânia;Band Jornalismo
Rússia diz que ataque contra Ucrânia foi aviso ao Ocidente;Band Jornalismo
"Queremos aprender com MT para replicar as lições de sucesso em nosso país", afirma embaixador da Ucrânia;Secom-MT
Zelensky volta a atacar Lula por mediação sobre a guerra: 'Não é mais um player' – Mundo;CartaCapital
Lula não é mais relevante nas negociações entre Ucrânia e Rússia, afirma Zelensky;InfoMoney
Putin está preocupado com economia à medida que Trump cogita mais sanções;Istoé Dinheiro
A resposta da Rússia às ameaças de Donald Trump sobre a Ucrânia;Revista Fórum
Trump faz primeira ameaça a Putin por acordo na Guerra da Ucrânia;UOL
Trump ameaça Rússia com mais sanções se Putin não parar guerra na Ucrânia;G1
Biden anuncia parcela final de ajuda à Ucrânia de US$ 500 milhões;Band Jornalismo
Trump diz esperar que China possa ajudar a acabar com guerra da Rússia na Ucrânia;Terra
Ucrânia faz primeiro ataque com míssil americano | Jornal Gente;Band Jornalismo
Entre Putin e Trump, europeus tentam se adaptar a nova realidade;CNN Brasil
Deputados recebem visita do embaixador da Ucrânia no Brasil;Folhamax
Uso de arsenal americano em guerra da Ucrânia aumenta tensão;Band Jornalismo
Trump diz que esforços para garantir acordo de paz entre Rússia e Ucrânia estão agora em andamento;Terra
Ucrânia teme grande ataque russo;Band Jornalismo
Ucrânia realiza grande operação contra tráfico ilegal de armas;Jornal de Brasília
Rússia está pronta para “diálogo respeitoso” com Trump, que mantém silêncio sobre ajuda à Ucrânia;RFI Brasil
Trump apela a Putin para pôr fim à guerra na Ucrânia;DW África
Trump dá prazo de 100 dias para guerra entre Rússia e Ucrânia acabar;O Dia
Reinaldo: Brasil e China formam grupo para buscar paz na guerra na Ucrânia;Band Jornalismo
Kieling: Trump ameaça Rússia com sanções caso não haja acordo pelo fim da guerra na Ucrânia;Band Jornalismo
Ucrânia está em alerta máximo para ataques da Rússia;Band Jornalismo
Trump ameaça Putin: “Pare com esta guerra ridícula”;CNN Brasil
Ucrânia: Zelensky diz que Lula não é relevante em negociações;Band Jornalismo
Trump pede a Putin que faça um acordo com a Ucrânia ‘agora’ ou enfrentará sanções;ISTOÉ
Zelensky diz que Lula não é relevante em negociações sobre Ucrânia;Band Jornalismo
Reinaldo – Rússia dispara míssil balístico contra Ucrânia;Band Jornalismo
Pilotos ucranianos adotam estratégias da Guerra Fria contra a Rússia, conta veterano dos EUA;TecMundo
Em conversa por telefone, Celso Amorim e Wang Yi reafirmam plano de paz para a Ucrânia;Brasil 247
Lula "não é um ator mais relevante na guerra entre Rússia e Ucrânia", diz Zelensky;SBT
Trump ameaça Putin caso paz com Ucrânia não seja negociada;Metrópoles
‘Trem do Brasil passou’, diz Zelensky sobre Lula e mediação brasileira na guerra;VEJA
Trump faz ameaça a Putin para acabar com a guerra na Ucrânia: 'E logo';Correio Braziliense
Rússia domina 20% do território da Ucrânia após 3 anos de guerra;Band Jornalismo
Crusoé: "O trem do Brasil passou";O Antagonista
Moscou aguarda detalhes do “acordo” proposto por Trump para resolver a guerra da Ucrânia;O Cafezinho
Trump ameaça Rússia com sanções se Moscou não chegar a um acordo para fim da guerra da Ucrânia;Brasil de Fato
Rússia lança forte ataque contra a infraestrutura de energia da Ucrânia;Band Jornalismo
‘Pare com essa guerra ridícula’, dispara Trump contra Putin sobre conflito na Ucrânia;Meio
As ameaças de Trump contra Moscovo por causa da Ucrânia foram vistas por alguns na Rússia como um falso começo insultuoso;DailyNerd
Zelensky: Lula não é relevante na negociação para o fim da guerra;Gazeta do Povo
Ucrânia mata general russo em Moscou com ataque a bomba;Band Jornalismo
Ucrânia não lograria aderir à OTAN mesmo após conversações de paz, diz mídia;Tribuna do Sertão
Vida & Sociedade | Trump pressiona Rússia com ameaça de novas sanções para encerrar conflito na Ucrânia;AF Notícias
Zelensky: Lula perdeu relevância como mediador de conflito na Ucrânia;Metrópoles
Secretário-geral da NATO pede mais apoio para a Ucrânia e apoia a exigência de Trump de um orçamento para a defesa;Euronews
Em direto/ Europa estará a planear o envio de 50 mil soldados de cinco ou seis países para a Ucrânia;Observador
Um morto e 16 feridos após ataque russo contra a cidade ucraniana de Zaporíjia;O Globo
Ucrânia realiza grande operação contra tráfico ilegal de armas;Folha de Pernambuco 
Zelensky diz que Lula não é relevante em negociações sobre Ucrânia;Band Jornalismo
Ameaça nuclear: Especialista fala sobre tensão entre Rússia e Ucrânia;Band Jornalismo
Chefe da OTAN diz que Europa pagará por armas dos EUA para a Ucrânia;Forças Terrestres
Kremlin minimiza ameaça de Trump a Putin para encerrar guerra na Ucrânia;Rádio Tucunaré
Zelensky descarta Lula como ator relevante para negociações de paz na Ucrânia;ClicRDC
Trump ameaça punir Rússia com sanções se Putin não concordar em discutir fim da guerra da Ucrânia;Jovem Pan
Trump ameaça Putin com sanções caso Rússia não negocie fim da guerra na Ucrânia;GZH
Ucrânia faz ataque contra Rússia usando mísseis fabricados pelos EUA;Band Jornalismo
Trump pede para Putin acabar com a 'ridícula' guerra na Ucrânia ou enfrentar novas sanções;Correio Braziliense
Trump pede a Putin que faça um acordo com a Ucrânia e ameaça aplicar sanções;GZH
Trump ameaça sanções à Rússia se a guerra não acabar em breve;BP Money
Trump promete aumentar sanções à Rússia se guerra na Ucrânia não chegar ao fim;TV Cultura
Trump ameaça Rússia e outros países com tarifas se não houver acordo sobre Ucrânia;Money Times
Presidente Da Ucrânia, Volodymyr Zelensky Diz Que Lula Não É Relevante Para Fim Da Guerra;MSN
Qual deve ser a postura de Trump com as guerras na Ucrânia e em Israel?;Band Jornalismo
Guerra na Ucrânia: ataques de drones russos deixa 9 feridos e um morto;Band Jornalismo
