;1;2;3;4;5
Síria;"Síria. Fotojornalista da agência oficial assassinado por desconhecidos. Israel lança novos ataques na Síria | Bandeirantes Acontece. Brumado Urgente. Jovens radicalizados: Autoridades atentas à chegada de familiares de portugueses vindos da Síria. Síria quer ""restaurar"" relação com países do Golfo Pérsico. Papa Francisco envia cardeal para missão na Síria. Bilionário democrata vai financiar ações dos EUA contra mudanças climáticas. Israel ataca Palestina, pressiona Síria e quer estender presença no Líbano. O líder de facto da Síria, Ahmed Al-Shara, dá entrevista exclusiva a A Haber: O apoio de Türkiye ao povo sírio nunca será esquecido";"Ao fim de 13 anos, a Turkish Airlines retoma voos para Damasco depois de um 인터gno de 12 anos";"Fonte RTP Notícias: Radicalizados. Portugal prepara possível chegada de familiares de ex-combatentes na Síria";"O ex-líder da Síria, Bashar al-Assad, é o primeiro-ministro de Portugal a chegar à região.";"1. Guerra na Síria: o governo do presidente Bashar al-Assad quer ""reconstruir"" relações com países do Golfo Pérsico. Turkish Airlines retoma voos para Damasco depois de 13 anos."
Dólar;"Dólar fecha abaixo de R$ 6 na menor cotação em 2 meses. Juros futuros sobem alinhados ao dólar. Dólar oscila pouco com anúncios de Trump e decisões de BCs em foco Por Reuters. Estrangeiros cortam aposta no dólar com câmbio abaixo de R$ 6. Dólar cai e fecha abaixo dos R$ 6 pela primeira depois de 42 dias. Dólar reverte alta após bater R$ 6,20 e Banco Central leiloar US$ 2 bilhões. Por que o dólar voltou a ficar abaixo de R$ 6?. Milho fecha em baixa com queda do dólar. Juros futuros sobem com dólar e falas de Trump no radar  veja. Dólar passa a cair e vai a R$ 5,91, à espera de Trump em Davos. Alta do dólar, contas públicas e tarifas do metrô de SP. Pré-mercado: até Quando o Dólar Vai Ficar Abaixo de R$ 6,00?. Dólar oscila, mas se sustenta abaixo dos R$ 6. Dólar abaixo de R$ 6. O que aconteceu? Moeda vai continuar caindo?. Banco Central vai fazer novo leilão de dólar nesta segunda-feira (16). Dólar perde nível de R$ 6. Movimento de queda deve continuar nos próximos dias?. O que esperar para o dólar após a moeda voltar para abaixo de R$ 6?. O que levou o dólar a cair abaixo dos R$ 6 — e por que isso pode durar pouco. Dólar recua 1,4% e vai a R$ 5,94, menor patamar desde 27 de novembro. Dólar fecha abaixo dos R$ 6 após 42 dias | InvestNews";'O dólar fecha abaixo dos R$ 6 em meio à espera do presidente americano, Donald Trump, em Davos, na Suíça.';"Fonte E-Investidor: Dólar se destaca como a moeda estrangeira mais transacionada de 2024. Fonte Seu Crédito Digital: Dólar volta a ficar abaixo de R$ 6, saiba o motivo";'O dólar voltou a bater R$ 6 nesta quarta-feira, com o índice de juros mais baixo do mundo.';'O dólar fecha abaixo de R$ 6 pela primeira vez em mais de um mês, com anúncios de Donald Trump e o Banco Central no radar.'
Belo_Horizonte;"Após reunião com Prefeitura de BH, Ministério do Trabalho pede suspensão de moto por aplicativo por 90 dias. VÍDEOS: Bom Dia Minas de quinta-feira, 23 de janeiro de 2025. Mortes por acidentes disparam em Belo Horizonte e em Minas Gerais. VÍDEOS: mais recentes do G1. Criança é atacada por pitbull na Grande BH e é hospitalizada. Pode chover granizo novamente em Belo Horizonte nesta quinta-feira. Carro cai em rio e militares salvam ocupantes em Belo Horizonte (MG). Tabela Pré Carnaval 2025. Prefeito de BH, Fuad Noman deve passar por traqueostomia. Manifestação de motociclistas promete ‘agarrar’ o trânsito de BH hoje. Justiça nega suspensão de aumento da passagem dos ônibus de BH  valor segue em R$ 5,75. Azul cancela voo de Patos de Minas para Belo Horizonte por questões técnicas. Árvore cai e atinge dois veículos após temporal em Belo Horizonte. Reconecte: Mercado de Origem oferece yoga e dança neste fim de semana. Menino de 8 anos tem parte da orelha arrancada por pitbull na Grande BH. Cadastramento de ambulantes para o Carnaval 2025 começa hoje (23). Temporal com granizo atinge Belo Horizonte e deixa prejuízos em diversos pontos da cidade. Prefeitura publica lista de feirantes para comercialização de alimentos. Após chuva de granizo, bombeiros cortam mais de 20 árvores caídas na Grande BH. Governo Zema diz que Lei das Estatais não impede que Luísa Barreto assuma comando da Codemge";'A BBC Brasil traz alguns de seus principais jornais sobre a cidade de Belo Horizonte (MG) .';Fonte Hoje em Dia: VÍDEO: blitz educativa orienta motoristas de BH sobre medidas de prevenção durante temporais. Fonte R7: Temporal com granizo atinge Belo Horizonte e deixa prejuízos em diversos pontos da cidade. Fonte Revista Encontro: Entenda por que o serviço de mototáxi pode ser suspenso em BH. Fonte Hoje em Dia: Justiça nega suspensão de aumento da passagem dos ônibus de BH;'A BBC News Brasil traz uma série de reportagem sobre a cidade de Belo Horizonte e as medidas de prevenção durante o tempo.';'O Carnaval de Belo Horizonte (MG) começa nesta quinta-feira (23/1), com fortes ventos e chuva de granizo em várias regiões da cidade.'
Itabirito;"Herculano Mineração anuncia vagas de emprego em Itabirito (MG) para diversos cargos. Projeto Férias no Parque acontece na próxima semana em Itabirito. Itabirito empossa Comissão de Ética de Enfermagem para fortalecer a saúde municipal. Prefeitura de Itabirito abre processo seletivo para estágios com bolsas de até R$ 1.518,00. Campeonato Mineiro: Assista ao vivo e de graça ao jogo Tombense x Itabirito. Tombense vence Itabirito e se reabilita após estreia com derrota no Mineiro";'O Campeonato Mineiro é um dos principais eventos do calendário esportivo do país. Confira abaixo alguns de seus capítulos.';Fonte Prefeitura de Marabá - Pa: rádio cidade itabirito. Fonte TV Pop: Campeonato Mineiro: Assista ao vivo e de graça ao jogo Tombense x Itabirito;'A BBC Brasil acompanha o noticiário da cidade itabirito de Marabá ao vivo nesta quarta-feira.';'Ao vivo - Campeonato Mineiro: melhores momentos, primeira vitória e segunda rodada do jogo.'
Rússia;"Kremlin diz que Trump 'gosta desses métodos' após ameaça de sanções: 'Estamos prontos para diálogo respeitoso'. Kieling: Trump ameaça Rússia com sanções caso não haja acordo pelo fim da guerra na Ucrânia. Rússia está pronta para “diálogo respeitoso” com Trump, que mantém silêncio sobre ajuda à Ucrânia. Rússia diz que envio de tropas da Otan para a Ucrânia aumentaria o conflito. Otan pede que EUA mantenham o envio de armas à Ucrânia. A resposta da Rússia às ameaças de Donald Trump sobre a Ucrânia. Kremlin minimiza ameaça de Trump a Putin sobre Ucrânia. Trump ameaça Putin caso paz com Ucrânia não seja negociada. Avançar sem retroceder: Como a tropa de elite de Kim Jong-un está sendo usada para lutar pela Rússia. Alemanha diz que não vai aceitar “paz ditada pela Rússia”. Ameaça nuclear: Especialista fala sobre tensão entre Rússia e Ucrânia. Trump ameaça sancionar a Rússia caso Putin não encerre a guerra na Ucrânia | SBT Brasil (22/01/25). Trump sugere impor novas sanções à Rússia caso país se negue a negociar fim da guerra na Ucrânia - Jornal O. “Em andamento“, diz Trump sobre esforços para acordo entre Rússia e Ucrânia. Trump ameaça Putin com sanções caso Rússia não negocie fim da guerra na Ucrânia. Trump ameaça Putin com tarifas e dá prazo de 100 dias para guerra acabar. Putin está preocupado com economia da Rússia à medida que Trump cogita mais sanções. As garras da América: Política externa assertiva de Trump desafia China, Rússia e Europa. Trump chega com força: Ameaças à Rússia e uma Venezuela armada até os dentes. Rússia domina 20% do território da Ucrânia após 3 anos de guerra";'O presidente dos Estados Unidos, Donald Trump, fez um apelo à Rússia e ao presidente da Venezuela, Vladimir Putin, para acabar com o conflito na Ucrânia.';"Fonte SBT: Lula ""não é um ator mais relevante na guerra entre Rússia e Ucrânia"", diz Zelensky. Fonte G1: Trump ameaça Rússia com novas sanções se Putin não parar a guerra na Ucrânia";'O presidente da Ucrânia, Volodymyr Zelensky, disse nesta quarta-feira que ""não é um ator mais relevante"" na guerra entre os dois países.';'O presidente dos Estados Unidos, Donald Trump, e o presidente da Rússia, Vladimir Putin, estão reunidos nesta quinta-feira em Nova York.'
China;"Minério sobe com apoio da China, mas temor sobre tarifas limita ganhos. Setor de fundos de oferta pública da China mantém evolução estável. Em meio a disputa comercial, Amorim conversa com chanceler chinês. As garras da América: Política externa assertiva de Trump desafia China, Rússia e Europa. China pode vender TikTok a Elon Musk, diz agência | Eduardo Barão. Visita de presidente da China termina com jantar no Itamaraty. Os líderes do Partido Republicano se reuniram para revogar o status de 'nação mais favorecida' da China após uma corrida de 20 anos. China anuncia apoio ao mercado de ações. Cinco empresas brasileiras são impossibilitadas de importarem soja para a China  entenda. FT: China vê espaço para evitar guerra comercial com Trump apesar da ameaça tarifária. China anuncia medidas para intensificar apoio ao mercado de ações Por Estadão Conteúdo. Governo brasileiro recebe notificações da China sobre não conformidades em exportações de soja. Parque da Lego de quase R$ 4 bilhões será inaugurado na China. Ásia fecha mista mesmo depois de anúncio de incentivos na China. Fabricantes de smartphones cortam preço na China para usufruir de subsídios. Ministério do Comércio da China impulsionará abertura e facilitará acesso ao mercado em 2025. 52 estudantes do Zimbábue recebem a Bolsa de Estudo da Amizade China-Zimbábue. china congela credito argentina - V6.10.7. Importação de carne bovina atinge recorde na China e eleva o risco de barreiras. China suspende carregamento de soja de 5 unidades de empresas brasileiras";'A China anunciou incentivos para o mercado acionário com Incentivo à Seguradoras, segundo reportagem publicada na edição desta quinta (23).';Fonte Terra: Trump diz esperar que China possa ajudar a acabar com guerra da Rússia na Ucrânia. Fonte Canal Rural: China suspende importação de soja de 5 unidades de empresas brasileiras. Fonte CNN Brasil: China anuncia medidas de apoio para intensificar mercado de ações';'A reportagem desta quinta-feira da BBC Brasil contém alguns de seus principais notícias a respeito da crise econômica mundial.';'O presidente dos Estados Unidos, Donald Trump, e o presidente da China, Xi Jinping, estão reunidos em Davos, na Suíça.'
Lula;"‘Jesus jamais cobraria juros abusivos’, diz Zema após ser alvo de críticas de Lula. Governo descarta mudança em data de validade de alimentos. Descartada no governo Lula após críticas, mudança de prazo dos alimentos foi avaliada sob Bolsonaro. Em Minas, lideranças agradecem governo federal em meio as farpas de Zema com Lula. Lula lança em fevereiro plano para desenvolvimento ferroviário. Troca de farpas entre Zema e Lula com clima de campanha eleitoral. Zelensky: Lula não é relevante na negociação para o fim da guerra. Exclusivo: Popularidade de Lula por segmentos da sociedade. Baixe o relatório completo. Pesquisas apontam governo Lula com reprovação acima de 50%. Após derrota, governo Lula fará campanha de R$ 50 mi sobre o Pix. Teixeira: Medidas para reduzir preços dos alimentos serão apresentadas a Lula nesta sexta-feira. Tarcísio critica governo Lula e diz que Brasil ‘está gastando o que não devia gastar’. Lula celebra indicações de ""Ainda Estou Aqui"" ao Oscar. Lula parabeniza Fernanda Torres e Walter Salles por indicações ao Oscar de ""Ainda Estou Aqui"". Lula despacha da Granja do Torto nesta quinta e se reúne com Rui Costa, Haddad e Sidônio. Governo descarta mudança em data de validade de alimentos após críticas nas redes. Entenda o que é o Programa de Transição Energética, sancionado com vetos pelo presidente Lula. Parlamentares se organizam para derrubar veto de Lula que acaba com a isenção dos fundos imobiliários e do agronegócio. Lula sanciona programa de aceleração da transição energética nesta quarta-feira. Zema rebate fala de Lula sobre Jesus: “Jamais cobraria juros abusivos“";'A edição desta quinta-feira do jornal americano The New York Times traz uma série de reportagem sobre o governo Luiz Inácio Lula da Silva.';"Fonte Gazeta do Povo: Censura: governo Lula coloca Brasil em rota de colisão com Trump. Fonte Congresso em Foco: Lula celebra indicações de ""Ainda Estou Aqui"" ao Oscar. Fonte Migalhas: Lula sanciona lei que cria programa para acelerar transição energética. Fonte CNN Brasil: Lula deve fazer reunião na segunda sobre preço dos alimentos. Fonte Revista Oeste: Governo Lula descarta alteração na data de validade dos alimentos depois de críticas nas redes sociais. Fonte InfoMoney: ‘Jesus jamais cobraria juros abusivos’, diz Zema após ser alvo de críticas de Lula";'Uma série de reportagem sobre o governo Lula e seus críticas ao presidente americano, Donald Trump.';'A reportagem ao vivo desta quarta-feira (23/01) contém alguns dos principais pontos da agenda política do presidente Luiz Inácio Lula da Silva.'
Ucrânia;"Lula ""não é um ator mais relevante na guerra entre Rússia e Ucrânia"", diz Zelensky. Trump dá 100 dias para enviado acabar com guerra na Ucrânia, e Rússia vê oportunidade  Zelensky pede 200 mil soldados de paz. Em direto/ Europa estará a planear o envio de 50 mil soldados de cinco ou seis países para a Ucrânia. Kremlin minimiza ameaça de Trump a Putin para encerrar guerra na Ucrânia. Ucrânia captura soldados da Coreia do Norte | Melhor da Noite. Enviado de Trump rejeita expansão da Otan: ""membros devem investir antes"". Trump dá prazo de 100 dias para guerra entre Rússia e Ucrânia acabar. Trump exige que Putin acabe com a 'ridícula' guerra na Ucrânia ou enfrente novas sanções. Rússia responde a Trump: “é preciso analisar primeiro as suas propostas sobre a Ucrânia”. ""Queremos aprender com MT para replicar as lições de sucesso em nosso país"", afirma embaixador da Ucrânia. Trump ameaça Rússia com sanções se Moscou não chegar a um acordo para fim da guerra da Ucrânia. Trump diz esperar que China possa ajudar a acabar com guerra da Rússia na Ucrânia. Trump ameaça punir Rússia com sanções se Putin não concordar em discutir fim da guerra da Ucrânia. Trump diz que esforços para garantir acordo de paz entre Rússia e Ucrânia estão agora em andamento. Trump pede a Putin que faça um acordo com a Ucrânia ‘agora’ ou enfrentará sanções. EUA ameaçam Putin com sanções se a guerra na Ucrânia não acabar logo. Ucrânia: Zelensky diz que Lula não é relevante em negociações. Secretário-geral da Otan diz que Europa financiará armas dos EUA para Ucrânia. Putin está preocupado com economia à medida que Trump cogita mais sanções. Acordo para o fim da Guerra da Ucrânia possui riscos jurídicos";'O presidente da Ucrânia, Volodymyr Zelensky, fez um apelo ao presidente russo, Donald Trump, para que os Estados Unidos e outros países apóiem o acordo de paz.';Fonte Band Jornalismo: Rússia domina 20% do território da Ucrânia após 3 anos de guerra. Fonte Correio Braziliense: Donald Trump ameaça Putin e exige o fim da guerra com a Ucrânia. Fonte Band Jornalismo: Zelensky diz que Lula não é relevante em negociações sobre Ucrânia;'O Brasil e a Ucrânia são alguns dos principais temas da série de jornais internacionais desta semana.';'O presidente dos Estados Unidos, Donald Trump, e o presidente da Ucrânia, Volodymyr Zelensky, têm uma série de ataques com mísseis.'
Campeonato_Mineiro_de_Futebol;"Cruzeiro pode funcionar nas mãos de Diniz? Torcida protesta. Robert faz autoavaliação sobre desempenho pelo Atlético no Mineiro: ‘Poucos erros’. Atlético leva gol relâmpago do Democrata-GV e reage com garoto, mas tropeça no Mineiro. Atlético-MG x Democrata: onde assistir ao vivo e as escalações do jogo de hoje (22/01) pelo Mineiro. Atlético-MG empata com o Democrata pelo Campeonato Mineiro. Atlético e Cruzeiro não vencem pelo Campeonato Mineiro nesta quarta. Atlético-MG 1 x 1 Democrata GV | Melhores Momentos | 2ª Rodada | Campeonato Mineiro 2025. Emocionado, volante admite situação delicada no elenco após Atlético x Democrata-GV. Cruzeiro amplia jejum em Brasília ao perder para Athletic. Jaeci critica Diniz após derrota do Cruzeiro e alerta: ‘Pedrinho não gostou do que viu’. Últimos vídeos do Atlético-MG. Torcida do Cruzeiro vaia Fernando Diniz em derrota no Mineiro  assista. Análise: base do Atlético-MG segura resultado, mas tiro curto do Mineiro pode atrapalhar planos do hexa. Atlético-MG tropeça em casa com o Democrata e segue sem vencer no Campeonato Mineiro. Atlético-MG x Democrata no Campeonato Mineiro: onde assistir ao vivo, horário e escalação. Atlético registra 2º pior público no Mineirão desde reinauguração  veja ranking. América x Pouso Alegre: horário e onde assistir ao vivo pelo Campeonato Mineiro. Nem Atlético, nem Cruzeiro: só dois times estão 100% no Mineiro. Acompanhe Atlético x Democrata e Athletic x Cruzeiro pelo Campeonato Mineiro. Atlético-MG registra segundo pior público como mandante no Mineirão desde 2013  veja";'O Atlético-MG empata com o Democrata-GV e segue sem vencer no Campeonato Mineiro, segundo a BBC Brasil.';"Fonte LANCE!: Atlético-MG: técnico vê evolução no time que disputa o Mineiro. Fonte No Ataque: Cruzeiro joga mal, faz gol contra e perde para o Athletic no Mineiro";'O Atlético-MG enfrenta o Athletic de Lisboa nesta quarta-feira com uma vitória de 2 a 0 sobre os Sporting Mineiro.';'O Atlético-MG e o Democrata-GV disputam a segunda rodada do Campeonato Mineiro, que começa nesta quarta.'
GTA_6;"4 Personagens que Podem Marcar Presença em GTA VI. Protagonista de Red Dead Redemption 2 pede fim às teorias malucas sobre trailer de GTA 6. RPG chinês Phantom Blade Zero ganha trailer impressionante! Assista agora. GTA 6 pode ser lançado, no Brasil, custando mais de R$ 600. Fortnite lidera ranking de receita arrecadada em dezembro";'Confira abaixo alguns dos principais artigos da revista especializada em jogos eletrônicos da Grã-Bretanha.';"Fonte MeuPlayStation: Sony revela os jogos mais baixados para PS4, PS5 e dispositivos VR em 2024 na PS Store. Fonte O Maringá: 8 Teorias Surpreendentes Sobre a História de GTA VI";'A Sony anunciou os jogos mais baixados para a PlayStation 4, PS5 e dispositivos VR em 2024.';'A Sony remove paródia de Grand Theft Auto (GTA) 6 da PlayStation Store estúdio acredita que há como reverter, segundo analistas.'
Cruzeiro_Esporte_Clube;"Em estreia de titulares, Cruzeiro perde para o Athletic em Brasília. Após ser criticado pela torcida do Cruzeiro, Cássio exibe imagem de troféus que conquistou. São Paulo, Cruzeiro ou Santos - qual é o clube ideal para Dudu?. Fabrício Bruno desabafa e revela que houve tensão entre Flamengo e Cruzeiro. 'Cruzeiro não vem pra brincadeira em 2025': Ronaldo analisa chegada de Dudu. A inexplicável insistência em Fernando Diniz. Cruzeiro x Athletic: torcedores chegam confiantes para jogão no Mané. Quem é Romulo Zwarg, o meio-campista brasileiro que o Tigres quer contratar?. Com gol contra de Fabrício Bruno, Cruzeiro é superado pelo Athletic e pode perder liderança no Mineiro. Cruzeiro perde para o Athletic no Mané Garricha. Cruzeiro x Betim: onde assistir ao vivo, horário e escalações. Criticado por torcedor, Cássio, do Cruzeiro, responde nas redes sociais  veja conversa. Gabigol assinou com o Cruzeiro, diz Ulisses Costa. Fernando Diniz se irrita com repórter após derrota do Cruzeiro: ""Pergunta oportunista""  veja. Cappellanes crítica Cruzeiro e diz: “Não será nem campeão Mineiro em 2025”. Mineiro: zebra passeia no Mané e Cruzeiro acaba derrotado pelo Athletic-MG. Romero pede paciência para o torcedor após derrota do Cruzeiro: 'estamos começando o ano'. Dudu: 'Me preparei meses para o retorno ao Cruzeiro'. Atuações ENM: Mudanças de Diniz não funcionam em derrota pelo Campeonato Mineiro. Cruzeiro decepciona torcedor e é derrotado pelo Athletic";'Após a derrota do Cruzeiro contra o Athletic Club, alguns dos principais jornais de São Paulo e outras cidades do país foram alvo de críticas.';Fonte Band Jornalismo: Dudu é recebido com festa para ser apresentado como jogador do Cruzeiro. Fonte No Ataque: Diniz responde às vaias da torcida do Cruzeiro após tropeço diante do Athletic. Fonte Itatiaia: Cruzeiro confirma lesões no joelho de atletas  saiba detalhes;'O jornalismo da BBC Brasil traz uma série de reportagem sobre o ataque do Cruzeiro às oitavas-de-final da Copa do Mundo.';'Após a derrota do Cruzeiro para o Athletic Club, os torcedores do Flamengo e do Atlético de São Paulo vêem as primeiras partidas da Seleção Brasileira no Campeonato Mineiro.'
Clube_Atlético_Mineiro;"Cuca aprova Benjamín Rollheiser no Atlético-MG para jogar com Júnior Santos: “Tem o perfil”. Atlético-MG: Eduardo Vargas é anunciado por novo clube. Acerto entre Bruno Henrique e Flamengo impede ida para o Atlético-MG.. Denílson imagina final da Libertadores quente entre Botafogo e Atlético-MG. Atlético promove uma mudança na escalação para enfrentar o Democrata-GV. 13 fotos da classificação na Copa do Brasil. “Um dos piores……..”: Edu Panzi ‘solta o verbo’ após Atlético-MG x Democrata no Mineirão. Os jovens do Atlético que aproveitaram bem a oportunidade contra o Democrata-GV. Entenda por que Atlético-MG se anima com possível chegada de Neymar ao Santos. Vitória toma chapéu de gigante sul-americano e perde ex-Atlético-MG. Robert lamenta tropeço do Atlético, mas destaca foco para próxima partida. Orlando City x Atlético-MG: horário e onde assistir ao jogo da FC Series. Atlético-MG tenta levar Bruno Henrique do Flamengo: entenda a estratégia. Athletic x Cruzeiro pelo Campeonato Mineiro: onde assistir ao vivo, horário e escalação. Mineiro: zebra passeia no Mané e Cruzeiro acaba derrotado pelo Athletic-MG. Camisa All Black para quem é GVN Forte e Vingador!. Atlético-MG leva gol com 37s, empata, mas segue sem vencer no Mineiro. Atacante do Atlético-MG recebe proposta milionária da Arábia para deixar o clube. Dalla Déa analisa empate do Atlético: 'conseguimos melhorar algumas questões'. Fim da espera para Cuca? Atacante é liberado para assinar com o Atlético-MG e deve chegar amanhã em BH";'O gol do Atlético-MG contra o Democrata e segue sem vencer no Campeonato Mineiro, segundo a BBC Brasil.';"Fonte Globo: Últimos vídeos do Atlético-MG. Fonte Terra: Atlético-MG empata com o Democrata pelo Campeonato Mineiro. Fonte Monitor do Mercado: Atlético-MG tenta levar Bruno Henrique do Flamengo: entenda a estratégia. Fonte Bolavip Brasil: Após deixar o Atlético-MG, Eduardo Vargas é anunciado pelo Nacional do Uruguai";'O Atlético-MG enfrenta o Democrata pelo Campeonato Mineiro, segundo a reportagem publicada nesta quarta-feira pela BBC Brasil.';'O Atlético-MG e o Democrata-GV disputam a 3a rodada do Campeonato Mineiro, com três partidas.'
Venezuela;"100 anos de presença redentorista na Venezuela. Debate Jogo Aberto: Seleção Brasileira decepcionou contra a Venezuela?. Venezuela fecha fronteira com o Brasil para realizar exercícios militares. Fronteira Brasil-Venezuela é reaberta após fechamento para exercício militar. Tropas venezuelanas entram em território brasileiro durante exercício militar, causando preocupação em Pacaraima. Secretário de Estado do governo Trump reafirma apoio à oposição da Venezuela. Venezuela fecha fronteira com o Brasil para exercício militar. Em recado a Maduro, militares planejam exercício na fronteira com Venezuela. Relatório revela táticas de repressão na Venezuela para perpetuar Maduro no poder. Venezuela fecha fronteira com o Brasil devido a exercícios militares. Secretário de Estado dos EUA fala com líderes da oposição venezuelana. Alba critica retorno de Cuba para lista de organizações terroristas dos EUA: 'Desprezo pelos povos'. Conflito Brasil x Venezuela? Entenda preocupação do Governo com fronteira fechada e movimentação militar. Maduro diz que soldados precisam treinar para “quebrar dentes” de invasores. Maduro fecha fronteira da Venezuela com o Brasil. Tensões na fronteira: Venezuela realiza movimentos militares próximos ao Brasil. Grande criminoso procurado na Venezuela é morto. Aliança com CV: Criminosos da Venezuela com força no Brasil. Venezuela. Parlamento Europeu diz que apoiar oposição é ""dever moral"". ONG denuncia sequestro de ex-candidato à presidência da Venezuela";'A Venezuela fecha fronteira com o Brasil para exercícios militares, segundo reportagem publicada na edição desta quarta-feira da revista venezuelana Gazeta do Povo.';Fonte Correio Braziliense: Bolsonaro diz que Brasil deveria ter sistema eleitoral igual ao da Venezuela. Fonte Exame Notícias: Venezuela faz exercícios militares e fecha fronteira com o Brasil. Fonte GZH: EUA classifica González Urrutia como 'presidente legítimo' da Venezuela. Fonte GZH: Líder da oposição da Venezuela confirma conversa com secretário de Estados dos EUA;'O Brasil e a Venezuela são alguns dos principais focos da campanha eleitoral brasileira. Abaixo, uma reportagem de jornais internacionais.';'O presidente venezuelano, Nicolás Maduro, fecha fronteira com o Brasil para realizar exercícios militares.'
Neymar;"Neymar no Santos: entenda como o negócio pode acontecer. Neymar tem proposta da Premier League, crava Emerson Sheik. João Silva viraliza com vídeo sobre Neymar e avalia volta do craque ao Santos. Neymar no Santos: entenda como o negócio pode acontecer. Neymar jogou 20 jogos desde a Copa do Mundo de 2022 | Nossa Área. Após polêmica, Neymar diz que jogou mais que Rivaldo e só fica atrás de Messi e Cristiano Ronaldo. Raphinha e Vini Jr apoiam retorno de Neymar ao Santos: 'É a casa dele'. Neymar aceita proposta salarial do Santos | O Pulo do Gato. Neymar já é questão de tempo na Vila, e o Santos mostra que precisa dele. ‘Fui o Cabral do futebol’: Jorge Jesus fala sobre Fla, Neymar e Seleção. Bruna Biancardi mostra barriguinha da segunda gravidez com Neymar Jr. Neymar, Andreas e Pogba: Bruno Andrade informa sobre mercado da bola. ‘Pior negócio da história’, diz Cappellanes sobre Neymar no Al Hilal. Neymar diz ser melhor que Mbappé, Vini Jr. e Suárez e só pior do que Messi e Cristiano Ronaldo. O Santos fez convite para Neymar. Desejo de Neymar não é ficar no Al-Hilal  Santos tenta trazer jogador. RMP: Santos sem a vinda de Neymar vai sofrer no Campeonato Brasileiro. Neymar encanta ao revelar Mavie de look monocromático fazendo caretas. Debate Donos: Possível volta de Neymar é uma boa para o Santos?. Neymar continua fora dos planos de Jorge Jesus no Al Hilal";'O anúncio de retorno do craque Neymar ao Santos é um dos principais temas da edição desta quinta-feira do jornal esportivo brasileiro.';Fonte Marie Claire Brasil: Neymar encanta ao revelar Mavie de look monocromático fazendo caretas. Fonte Band Jornalismo: Neymar Jr. fala sobre possibilidade de compra e volta para o Santos;'Confira abaixo alguns dos principais pontos da série de notícias da BBC Brasil e da imprensa brasileira.';'O anúncio de troca de contratos entre Neymar e o clube de futebol Al Hilal é um dos principais temas da série.'
Donald_Trump;"Kremlin diz que Trump 'gosta desses métodos' após ameaça de sanções: 'Estamos prontos para diálogo respeitoso'. Brasil certamente terá prejuízos com Trump e 2026 preocupa, diz 1º embaixador de Lula nos EUA. Trump decreta fechamento da fronteira com México para imigrantes ilegais. Trump critica perdões presidenciais de Biden: “Não perdoou a si mesmo”. Bispa que dirigiu sermão a Donald Trump já tinha criticado presidente em 2020  saiba quem é a religiosa. “Não vou me desculpar“, diz bispa que pediu misericórdia a Trump. 'Financiamento vai cessar e a OMS vai ter que focar nas prioridades', diz representante da organização após decisão de Trump. Brasil está entre os mais vulneráveis da América Latina com Trump. Trump diz que vai pressionar por queda dos juros. Kremlin minimiza ameaça de Trump a Putin para encerrar guerra na Ucrânia. Japão mostra cautela sobre economia com políticas de Trump em foco. Marçal revela a verdade sobre vídeo com Trump nos EUA. Trump suspende a entrada de imigrantes ilegais na fronteira com o México. Donald Trump discursa no Fórum de Davos  acompanhe. Musk lança dúvidas sobre megaprojeto de IA apoiado por Trump – Mundo. Sebastian Stan é indicado ao Oscar por viver Donald Trump em filme que irritou o atual presidente americano. Kremlin ignora ameaça de sanções de Trump e diz estar 'pronto para diálogo mutuamente respeitoso' com EUA. “Em andamento“, diz Trump sobre esforços para acordo entre Rússia e Ucrânia. Trump anuncia novos nomes para complementar a equipe do governo. EUA precisam do Brasil ou não? Veja dados de comércio e investimentos de empresas americanas no país";'O discurso do presidente dos Estados Unidos, Donald Trump, em Davos, na Suíça, é um dos principais temas da edição desta quinta-feira da imprensa americana.';"Fonte CNN Brasil: Tarifas são impostas aos EUA de forma injusta pela UE, diz Trump. Fonte Correio Braziliense: Donald Trump ameaça Putin e exige o fim da guerra com a Ucrânia. Fonte CNN Brasil: “Não vou me desculpar“, diz bispa que pediu misericórdia a Trump. Fonte CNN Brasil: Trump critica perdões de Biden e questiona motivos. Fonte Band Jornalismo: Donald Trump promete operação contra imigrantes ilegais";'O presidente dos Estados Unidos, Donald Trump, e o presidente da União Européia (UE), Vladimir Putin, estão entre os principais focos da campanha eleitoral americana.';'O Fórum Econômico Mundial, em Davos, na Suíça, é um dos principais temas da agenda de Donald Trump.'
